Name,Best LB,Best UB,Status,Selected
BPP_50_50_0.1_0.7_0.txt,23,23,Solved,0
BPP_50_50_0.1_0.8_0.txt,24,24,Solved,0
BPP_50_50_0.2_0.7_0.txt,22,22,Solved,0
BPP_50_50_0.2_0.8_0.txt,24,24,Solved,0
BPP_50_50_0.1_0.7_1.txt,21,21,Solved,0
BPP_50_50_0.1_0.8_1.txt,28,28,Solved,0
BPP_50_50_0.2_0.7_1.txt,25,25,Solved,0
BPP_50_50_0.2_0.8_1.txt,25,25,Solved,0
BPP_50_50_0.1_0.7_2.txt,21,21,Solved,0
BPP_50_50_0.1_0.8_2.txt,25,25,Solved,0
BPP_50_50_0.2_0.7_2.txt,22,22,Solved,1
BPP_50_50_0.2_0.8_2.txt,28,28,Solved,0
BPP_50_50_0.1_0.7_3.txt,21,21,Solved,1
BPP_50_50_0.1_0.8_3.txt,21,21,Solved,1
BPP_50_50_0.2_0.7_3.txt,22,22,Solved,0
BPP_50_50_0.2_0.8_3.txt,27,27,Solved,0
BPP_50_50_0.1_0.7_4.txt,24,24,Solved,0
BPP_50_50_0.1_0.8_4.txt,24,24,Solved,1
BPP_50_50_0.2_0.7_4.txt,25,25,Solved,1
BPP_50_50_0.2_0.8_4.txt,29,29,Solved,0
BPP_50_50_0.1_0.7_5.txt,19,19,Solved,0
BPP_50_50_0.1_0.8_5.txt,25,25,Solved,0
BPP_50_50_0.2_0.7_5.txt,24,24,Solved,1
BPP_50_50_0.2_0.8_5.txt,25,25,Solved,0
BPP_50_50_0.1_0.7_6.txt,20,20,Solved,0
BPP_50_50_0.1_0.8_6.txt,23,23,Solved,0
BPP_50_50_0.2_0.7_6.txt,22,22,Solved,0
BPP_50_50_0.2_0.8_6.txt,27,27,Solved,0
BPP_50_50_0.1_0.7_7.txt,23,23,Solved,1
BPP_50_50_0.1_0.8_7.txt,25,25,Solved,0
BPP_50_50_0.2_0.7_7.txt,26,26,Solved,0
BPP_50_50_0.2_0.8_7.txt,27,27,Solved,1
BPP_50_50_0.1_0.7_8.txt,22,22,Solved,0
BPP_50_50_0.1_0.8_8.txt,23,23,Solved,1
BPP_50_50_0.2_0.7_8.txt,26,26,Solved,0
BPP_50_50_0.2_0.8_8.txt,29,29,Solved,0
BPP_50_50_0.1_0.7_9.txt,22,22,Solved,0
BPP_50_50_0.1_0.8_9.txt,24,24,Solved,0
BPP_50_50_0.2_0.7_9.txt,25,25,Solved,0
BPP_50_50_0.2_0.8_9.txt,30,30,Solved,0
BPP_50_75_0.1_0.7_0.txt,20,20,Solved,0
BPP_50_75_0.1_0.8_0.txt,26,26,Solved,0
BPP_50_75_0.2_0.7_0.txt,24,24,Solved,0
BPP_50_75_0.2_0.8_0.txt,28,28,Solved,1
BPP_50_75_0.1_0.7_1.txt,20,20,Solved,1
BPP_50_75_0.1_0.8_1.txt,29,29,Solved,0
BPP_50_75_0.2_0.7_1.txt,22,22,Solved,0
BPP_50_75_0.2_0.8_1.txt,25,25,Solved,0
BPP_50_75_0.1_0.7_2.txt,20,20,Solved,0
BPP_50_75_0.1_0.8_2.txt,23,23,Solved,1
BPP_50_75_0.2_0.7_2.txt,24,24,Solved,1
BPP_50_75_0.2_0.8_2.txt,31,31,Solved,0
BPP_50_75_0.1_0.7_3.txt,20,20,Solved,0
BPP_50_75_0.1_0.8_3.txt,22,22,Solved,1
BPP_50_75_0.2_0.7_3.txt,23,23,Solved,1
BPP_50_75_0.2_0.8_3.txt,31,31,Solved,1
BPP_50_75_0.1_0.7_4.txt,24,24,Solved,0
BPP_50_75_0.1_0.8_4.txt,29,29,Solved,1
BPP_50_75_0.2_0.7_4.txt,22,22,Solved,1
BPP_50_75_0.2_0.8_4.txt,27,27,Solved,1
BPP_50_75_0.1_0.7_5.txt,20,20,Solved,0
BPP_50_75_0.1_0.8_5.txt,26,26,Solved,0
BPP_50_75_0.2_0.7_5.txt,26,26,Solved,0
BPP_50_75_0.2_0.8_5.txt,28,28,Solved,0
BPP_50_75_0.1_0.7_6.txt,19,19,Solved,0
BPP_50_75_0.1_0.8_6.txt,21,21,Solved,0
BPP_50_75_0.2_0.7_6.txt,24,24,Solved,1
BPP_50_75_0.2_0.8_6.txt,26,26,Solved,0
BPP_50_75_0.1_0.7_7.txt,19,19,Solved,1
BPP_50_75_0.1_0.8_7.txt,22,22,Solved,0
BPP_50_75_0.2_0.7_7.txt,27,27,Solved,0
BPP_50_75_0.2_0.8_7.txt,26,26,Solved,0
BPP_50_75_0.1_0.7_8.txt,19,19,Solved,0
BPP_50_75_0.1_0.8_8.txt,20,20,Solved,0
BPP_50_75_0.2_0.7_8.txt,23,23,Solved,0
BPP_50_75_0.2_0.8_8.txt,26,26,Solved,0
BPP_50_75_0.1_0.7_9.txt,20,20,Solved,0
BPP_50_75_0.1_0.8_9.txt,27,27,Solved,0
BPP_50_75_0.2_0.7_9.txt,23,23,Solved,1
BPP_50_75_0.2_0.8_9.txt,33,33,Solved,0
BPP_50_100_0.1_0.7_0.txt,22,22,Solved,0
BPP_50_100_0.1_0.8_0.txt,29,29,Solved,1
BPP_50_100_0.2_0.7_0.txt,27,27,Solved,0
